name,aliases,section,group,group_ko,help,source,line,kind
관리자명령어,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,95,command
아이템목록,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,119,command
아이템검색,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,135,command
아이템지급,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,162,command
아이템회수,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,179,command
경험치지급,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,199,command
레벨설정,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,211,command
직업설정,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,225,command
펫설정,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,238,command
칭호지급,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,278,command
체력설정,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,293,command
스태미나설정,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,303,command
감염도설정,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,313,command
상태이상제거,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,327,command
관리자지역이동,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,339,command
유저정보,,system,admin,고급 관리자·데이터,,apocalypse_bot/commands/admin_tools.py,355,command
의약품,,play,gear,상점·장비·강화·제작,,apocalypse_bot/commands/conditions.py,157,command
약품구매,,play,gear,상점·장비·강화·제작,,apocalypse_bot/commands/conditions.py,169,command
사용,,play,gear,상점·장비·강화·제작,,apocalypse_bot/commands/conditions.py,187,command
병원,,play,gear,상점·장비·강화·제작,,apocalypse_bot/commands/conditions.py,235,command
오늘의퀴즈,일일퀴즈,play,party_games,파티게임·축제·미니게임,,apocalypse_bot/commands/daily_quiz.py,99,command
정답,,play,party_games,파티게임·축제·미니게임,,apocalypse_bot/commands/daily_quiz.py,116,command
퀴즈랭킹,,play,party_games,파티게임·축제·미니게임,,apocalypse_bot/commands/daily_quiz.py,160,command
퀴즈추가,,play,party_games,파티게임·축제·미니게임,,apocalypse_bot/commands/daily_quiz.py,183,command
퀴즈삭제,,play,party_games,파티게임·축제·미니게임,,apocalypse_bot/commands/daily_quiz.py,197,command
퀴즈목록,,play,party_games,파티게임·축제·미니게임,,apocalypse_bot/commands/daily_quiz.py,209,command
직업목록,,main,onboarding,가입·프로필·초보 안내,,apocalypse_bot/commands/jobs.py,9,command
직업선택,,main,onboarding,가입·프로필·초보 안내,,apocalypse_bot/commands/jobs.py,21,command
직업정보,,main,onboarding,가입·프로필·초보 안내,,apocalypse_bot/commands/jobs.py,46,command
직업변경,,main,onboarding,가입·프로필·초보 안내,,apocalypse_bot/commands/jobs.py,68,command
상태,,main,onboarding,가입·프로필·초보 안내,,apocalypse_bot/commands/status.py,112,command
휴식,,main,onboarding,가입·프로필·초보 안내,,apocalypse_bot/commands/status.py,144,command
언어,language | lang,main,onboarding,가입·프로필·초보 안내,개인 게임 화면의 표시 언어를 한국어 또는 영어로 설정합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1073,command
서버언어,serverlanguage | serverlang,main,onboarding,가입·프로필·초보 안내,공개 공동 패널과 자동 방송의 서버 기본 언어를 설정합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1090,command
할일,tasks | missiontracker | 임무추적 | trackmission,main,onboarding,가입·프로필·초보 안내,현재 진행 중인 콘텐츠와 미수령 보상을 추적합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1105,command
생존도감,survivalcodex | codex,main,onboarding,가입·프로필·초보 안내,지역·세력·인카운트·사건·트로피를 통합한 생존 도감을 엽니다.,apocalypse_bot/commands/v1000_global_survivor.py,1139,command
아이템도감,itemcodex,main,onboarding,가입·프로필·초보 안내,주요 재료·장비·수집품 도감을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1166,command
인물도감,charactercodex | npccodex,main,onboarding,가입·프로필·초보 안내,만날 수 있는 주요 우호 인물과 관계 단계를 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1181,command
지역도감,regioncodex,main,onboarding,가입·프로필·초보 안내,서버 공동 탐험 지역과 현재 상태를 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1195,command
시작안내,gettingstarted | startguide,main,onboarding,가입·프로필·초보 안내,신규 생존자의 첫 플레이 순서를 안내합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1206,command
복귀안내,returningguide | returnguide,main,onboarding,가입·프로필·초보 안내,마지막 확인 버전 이후 추가된 주요 기능을 안내합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1215,command
인연,relationships | bonds,main,onboarding,가입·프로필·초보 안내,주요 NPC가 기억하는 개인 관계 기록을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1231,command
인물기록,characterrecord | npcrecord,main,onboarding,가입·프로필·초보 안내,특정 NPC와 쌓은 관계와 기억을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1245,command
탐사작전,expeditionoperation | globalexpedition,main,exploration,생존 탐험·원정·사건,이번 주 서버 공동 글로벌 탐사 작전을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1277,command
탐사참가,joinexpedition | expeditionjoin,main,exploration,생존 탐험·원정·사건,정찰·의무·기술·경계 역할로 주간 탐사에 참가합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1296,command
탐사행동,expeditionaction | globalexpeditionaction,main,exploration,생존 탐험·원정·사건,신호분석·구조·복구·확보 행동으로 공동 진행도를 올립니다.,apocalypse_bot/commands/v1000_global_survivor.py,1325,command
탐사정산,settleexpedition | expeditionsettle,main,exploration,생존 탐험·원정·사건,완료된 주간 글로벌 탐사 작전을 한 번만 정산합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1404,command
탐사보상,claimexpedition | expeditionreward,main,exploration,생존 탐험·원정·사건,정산된 글로벌 탐사 작전의 개인 기여 보상을 받습니다.,apocalypse_bot/commands/v1000_global_survivor.py,1457,command
탐사기록,expeditionhistory | globalexpeditionhistory,main,exploration,생존 탐험·원정·사건,최근 서버 공동 글로벌 탐사 기록을 확인합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1461,command
