name,aliases,help,source,line,kind,section,group
관리자명령어,,,apocalypse_bot/commands/admin_tools.py,95,command,system,admin
아이템목록,,,apocalypse_bot/commands/admin_tools.py,119,command,system,admin
아이템검색,,,apocalypse_bot/commands/admin_tools.py,135,command,system,admin
아이템지급,,,apocalypse_bot/commands/admin_tools.py,162,command,system,admin
아이템회수,,,apocalypse_bot/commands/admin_tools.py,179,command,system,admin
경험치지급,,,apocalypse_bot/commands/admin_tools.py,199,command,system,admin
레벨설정,,,apocalypse_bot/commands/admin_tools.py,211,command,system,admin
직업설정,,,apocalypse_bot/commands/admin_tools.py,225,command,system,admin
펫설정,,,apocalypse_bot/commands/admin_tools.py,238,command,system,admin
칭호지급,,,apocalypse_bot/commands/admin_tools.py,278,command,system,admin
체력설정,,,apocalypse_bot/commands/admin_tools.py,293,command,system,admin
스태미나설정,,,apocalypse_bot/commands/admin_tools.py,303,command,system,admin
감염도설정,,,apocalypse_bot/commands/admin_tools.py,313,command,system,admin
상태이상제거,,,apocalypse_bot/commands/admin_tools.py,327,command,system,admin
관리자지역이동,,,apocalypse_bot/commands/admin_tools.py,339,command,system,admin
유저정보,,,apocalypse_bot/commands/admin_tools.py,355,command,system,admin
의약품,,,apocalypse_bot/commands/conditions.py,157,command,play,gear
약품구매,,,apocalypse_bot/commands/conditions.py,169,command,play,gear
사용,,,apocalypse_bot/commands/conditions.py,187,command,play,gear
병원,,,apocalypse_bot/commands/conditions.py,235,command,play,gear
오늘의퀴즈,일일퀴즈,,apocalypse_bot/commands/daily_quiz.py,99,command,play,party_games
정답,,,apocalypse_bot/commands/daily_quiz.py,116,command,play,party_games
퀴즈랭킹,,,apocalypse_bot/commands/daily_quiz.py,160,command,play,party_games
퀴즈추가,,,apocalypse_bot/commands/daily_quiz.py,183,command,play,party_games
퀴즈삭제,,,apocalypse_bot/commands/daily_quiz.py,197,command,play,party_games
퀴즈목록,,,apocalypse_bot/commands/daily_quiz.py,209,command,play,party_games
직업목록,,,apocalypse_bot/commands/jobs.py,9,command,main,onboarding
직업선택,,,apocalypse_bot/commands/jobs.py,21,command,main,onboarding
직업정보,,,apocalypse_bot/commands/jobs.py,46,command,main,onboarding
직업변경,,,apocalypse_bot/commands/jobs.py,68,command,main,onboarding
상태,,,apocalypse_bot/commands/status.py,112,command,system,server_setup
휴식,,,apocalypse_bot/commands/status.py,144,command,main,onboarding
언어,language | lang,개인 게임 화면의 표시 언어를 한국어 또는 영어로 설정합니다.,apocalypse_bot/commands/v1000_global_survivor.py,1073,command,main,onboarding
